FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,87436666,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,It's so frustrating because I feel that I am close to success but it never really happens,I would like to have more of: Explicit communication (e.g. written instructions rather than verbal),I watched a film about: bad parenting,I think there should be more research in to employment opportunities,1/14/2019,113
Autistica - Adjustments,7,28755653,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I would like to have more of: Ensuring all team members understand and respect adjustments in absence of manager,I watched a film about: a cyber hacker,I can’t think of any right now,1/14/2019,114
Autistica - Adjustments,7,66722819,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I was praised by my coworkers but not my manager,What has really helped is: Avoid working in areas with fluorescent strip lighting,I saw a story about a: a cyber hacker,Visualisations are nice,1/14/2019,115
Autistica - Adjustments,7,65438804,Every birthday my office buys me cake but I don't eat cake,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Examples of good adjustments include: Training staff on neurodiversity and specific needs,I saw a story about a: bad parenting,Really enjoying this app,1/14/2019,116
Autistica - Adjustments,7,15938146,Every birthday my office buys me cake but I don't eat cake,I was able to network well this week which I usually struggle with,I have tried the following: Avoid working in areas with fluorescent strip lighting,I watched a film about: difficulty in switching between tasks,I'm finding this app sort of helpful,1/14/2019,117
Autistica - Adjustments,7,37603401,I don’t like cookies but my team keeps celebrating cookies,I was successful in meeting my deadlines,I would like to have more of: Noise-cancelling headphones,I watched a film about: excellent autistic creativity,I would like to upgrade this app,1/14/2019,118
Autistica - Adjustments,7,23337145,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I worked in the quite room and that was very productive,Some things which I have tried are: Extra breaks to manage cognitive overload and processing speeds,I watched a film about: excellent autistic creativity,I think there should be better pathways to requesting adjustments,1/14/2019,119
Autistica - Adjustments,7,99599196,I don’t like socialising but it is compulsory to network as part of my job,I was able to use text instead of speech to interact in the meeting,I would like to have more of: A team culture of quieter lunchtime conversations,I watched a film about: low income and employment for autistic people,Really enjoying this app,1/14/2019,120
Autistica - Adjustments,7,25718877,My manager often criticises me,I managed my anxiety before a big presentation better,Some things which I have tried are: Desk fan,I read a newspaper article about: a mathematic genius,Nope,1/14/2019,121
Autistica - Adjustments,7,97909632,My manager often criticises me,I haven’t had any success,I have requested this: Set hours for responding to emails,I watched a film about: low income and employment for autistic people,I think there should be more research in to employment opportunities,1/14/2019,122
Autistica - Adjustments,7,40268226,We had an overnight hackathon and there were not enough vegan options,I managed my anxiety before a big presentation better,Some things which I have tried are: Avoiding negative language in the workplace (e.g. autism as a tragedy).,I read a newspaper article about: excellent autistic creativity,I think there has been enough research on younger populations,1/14/2019,123
